Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-09-25,It has to be lived once and dreamed twice,2019,https://boxd.it/bauDlv,5,,"<blockquote><b><i>""to be a one at all, one must be a many. More like a flame, than a stone""</i></b></blockquote>
When I finished this thing, a terrifying chaos tormented my mind for a long time. Thanks for giving me an existential crisis full of hallucinations in the middle of the night. Loved it.",,2025-09-25
2025-10-06,Isle of Dogs,2018,https://boxd.it/bhHi7B,4.5,,I bite.,,2025-10-06
2025-10-08,The Lighthouse,2019,https://boxd.it/biFF0D,4.5,,I wasn't really expecting to see Robert Pattinson aggressively jorking his shit then crying. Beautiful movie.,,2025-10-07
2025-10-11,Amélie,2001,https://boxd.it/bknnud,3,,"filmin renk paleti ve mizahi anlatısı Wes Anderson'ın stilini andıran bir kartpostal estetiği yaratıyor. Bu masalsı görselliğin arkasında, senaryo geri planda kalmış gibi. ""anlaşılamama"" teması, güzel bir fikir olmasına rağmen, duygusal derinlikten yoksun ve yüzeysel bir şekilde işlenmiş. Karakterlerin yapaylığı, izleyiciyle empati kurmayı imkânsızlaştırdı benim için. İzlemesi zevkli olsa da tekrar izleyeceğimi sanmıyorum.",,2025-10-09
2025-10-13,Casablanca,1942,https://boxd.it/bm8kJH,4.5,,"<i><b>""here's looking at you kid.""</b></i>",,2025-10-13
2025-10-15,G.O.R.A.,2004,https://boxd.it/bn3GCx,3,Yes,goradayız oğlum,,2024-07-06
2025-10-16,Into the Wild,2007,https://boxd.it/bnxqLj,3,,"En azından ruhu olan her insanın hayatının bir döneminde hayalini kurduğu bir ölüm biçimi vardır. Kahramanca değil, bir ideal uğruna değil, trajik, iyi, kötü, zengin, fakir değil. Sadece huzurlu. Sadece kendisi ile. Etrafını saran dogmalardan, ardı arkası kesilmeyen sidik yarışlarından çevrenin koştuğu başarı standartlarıyla toplumun bok kokan bakışlarından uzakta herhangi bir yerde.

 Alex'in kaçışından önceki tüm kareler bu yapaylığın, başkaları mutlu olsun diye yaşanan bir hayatın sahneleri. Kaçışı burda paradan değil tam olarak bu hayattan. Filmde yüceltilen bir yaban değil aşağılanan bir toplum yapısı olduğunu göremememek mümkün değil. Bu iğrenç yapaylıktan kaçarak kendi hayatını yaratmaya çalışan bir çocuğa 'şımarık' veya 'aptal' diyen herkes filmde eleştirilen o çürümüş sistemi oluşturanlardır.

  
ama maalesef bu harika tema, -belki gerçek bir hikayeden uyarlandığı içindir de- bu kadar tahmin edilebilir ve basit bir şekilde işlendiği için etkisini baya azaltıyor, en azından benim için. Tekrar izleyeceğimi düşünmüyorum.",,2025-10-14
2025-10-18,Come and See,1985,https://boxd.it/boMMcz,5,,"this shit felt like getting raped, pissed on, and having my limbs cut off alive and every other thing that could make a human feel disgust and fear ",,2025-10-17
2025-11-01,Brokeback Mountain,2005,https://boxd.it/byAFfR,3.5,,kyk'da oda arkadaşımla izledik,,2025-11-01
2025-11-07,Texas Chainsaw Massacre,2022,https://boxd.it/bCJ4ij,0.5,,"kuzenimin ısrarı ile izlemiştik belki orijinale benzer diye. Hayatımda gördüğüm en rezil kurgu, izlerken utandığım başka film hatırlamıyorum",,2025-11-07
2025-11-07,Spider-Man,2002,https://boxd.it/bCJvq5,3,,ben bunla geldim bunla giderim kardesim,,2005-11-18
2025-11-23,The Dictator,2012,https://boxd.it/bO2S1p,1.5,,baya dandik ve sıkıcı. toplamı 3 dakika falan olan bobby lee sahneleri dışında güldürmedi,,2025-11-23
2025-12-02,Midsommar,2019,https://boxd.it/bTW2lT,4,,type shit,,2025-12-01
2025-12-04,Gone Girl,2014,https://boxd.it/bVkxtV,4.5,,"""Panoptikon: merkezdeki bir gözetleme kulesinin etrafına dizilmiş hücrelerden oluşan ve mahkumun her an izlenebileceği şüphesiyle kendi davranışlarını sürekli kontrol altında tuttuğu bir hapishane modelidir. Gözetleyen görünmezdir, ancak gözetlenme ihtimali süreklidir ve bu da iktidarı otomatik hale getirir.""

Nick ve Amy o evin içinde hem birbirlerinin gardiyanı hem de mahkumu aynı bir panoptikon gibi. Dışarıya karşı ""mükemmel çift"" pozu keserken, içeride birbirlerini en çıplak, en canavar halleriyle gözetliyorlar. Asıl dehşet Desi'nin kanı değil (zaten ölmesi beni baya rahatlattı ezik piçin) , Nick'in o kapıdan çıkıp gidememesi. Çünkü biliyor ki Amy’nin kurguladığı o hikayeden kaçış yok. O son bakış ""sonsuza dek suç ortağı"" yaşayacaklarının korkunç görüntüsü. Tabi medyanın kitlelerin kontrolündeki etkisi ve modern evlilik eleştirileri gibi bariz noktalara paragraflar dökmeye gerek yok. 
AMA
Amy'nin hikayesini FBI ve polisin tamamdır knk sen evine geç diyip bu kadar kolay yutması, o kadar kan o kadar kamera biraz gerçeklikten kopardı beni. Ayrıca Go dışında hiçbir karakterle bağ kuramıyorsun, hepsi kasıtlı yapılmış bir şekilde birer satranç taşı",,2025-12-03
2025-12-07,Tony Robbins: I Am Not Your Guru,2016,https://boxd.it/bXtldd,0.5,,GOD I FUCKING HATE THIS MF,,2025-12-07
2025-12-08,SAVING İLKER CANİKLİGİL,2025,https://boxd.it/bYvakZ,,,ilker canikligilin isminin geçtiği en iyi yapım 👏👏,,2025-12-08
2025-12-11,Memories of Murder,2003,https://boxd.it/c0biIX,5,,"Muhtemelen hayatımda izlediğim en iyi final. Mavi yeşil ve kırmızı renkleriyle dahice renk paleti kullanımı ve kamera açıları. Uzun bir süredir bir hikayenin içine bu kadar gömülmemiştim.

Filmde geçen cinayetlerle alakalı bilinmeyen detaylarda çok can alıcı noktalar var. 1980'lerin o baskı ortamında polis ""birini bulmak"" zorundaydı. O kadar çok insanı haksız yere alıp, dövüp, aşağıladılar ki soruşturma sürecinde işkence edilen veya korkutulup tehdit edilen en az 4 şüpheli intihar etti. Polisler, seri cinayetlerden birini ""taklitçi işi"" sanıp masum bir adamı günlerce uykusuz bıraktı ve işkenceyle suçu kabul ettirdi ve bu adam suçsuz yere 20 yıl hapis yattı. Filmdeki engelli çocuğun trenin önüne atlaması gerçeklerin birer gölgesi sadece. Bu filmde sadece katili bulamamanın değil masumları koruyamamanın, hatta masumları koruması gereken otoritelerin onları resmen kurban etmesinin utancı da var.

devletin tüm mekanizmalarını rejimi korumak için kullandığı 80'ler güney kore diktatörlüğünde devlet o kadar güçlü ki bir düğmeye basarak tüm şehrin elektriğini kesebiliyor herkesi sığınağa sokabiliyor ama aynı devlet tarladaki bir sapığı yakalamaktan aciz. Aynı devlet kendi polis teşkilatına destek göndermekten, delilleri koruyabilmekten aciz. 

Finaldeki o popüler bakış ise her şeyi özetliyor. Bu ucuz bir ""filmi izleyecek katile not"" değil. Katil bir canavar değil, kalabalığın içinde kaybolan ""sıradan"" biri. Ve o bakış, bu suça ortak olan o sistemin ve sessiz kalan herkesin üzerinde.",,2025-12-10
2025-12-20,The Guilty,2021,https://boxd.it/c7XtxZ,1,,"jake baba rezil rüsva bir yönetmenin eline düşmüş, ben sanki salağım da gerilmem gerektiğini hatırlatsın diye outlast oynuyormuşum gibi bas bas müzikler, iğrenç ışık kullanımı, hollywood tarzı her şeyin aşırılaştırıldığı iğrenç rezil bir remake. ironik olan da senaryodaki her bir detayı hatta karakterin ettiği küfürleri bile birebir kopyalayıp finalde bebeği yaşatarak trajediyi yumuşatmışlar sanki en kötü nasıl yapabiliriz der gibi. Jake Gyllenhaal'ın boğazı düğümlenip sesi karşıya gitmesin diye kendini kastığı o tuvalet sahnesi ise tek kelimeyle harika. Müthiş bir metot oyuncusu olduğu her rolünden belli adamın ama yönetmen ve senaristin aşşırı aşşırı aşırı tutumu yüzünden, orijinaldeki o minimalist ve tekinsiz duygular yok olmuş. keşke izlemeseydim amk.",,2025-12-20
